customer_key,customer_name,age,lifespan_months,total_orders,total_sales,total_quantity,total_products,age_group,customer_segment,last_order,recency,avg_order_value,avg_monthly_spend
17,Wyatt Hill,41,0,1,2332,3,3,40-49,New,2013-02-09,158,2332.0000000000000000,
18,Shannon Wang,76,33,3,6434,4,4,50 and above,VIP,2013-10-14,149,2144.6666666666666667,194.9696969696969697
19,Clarence Rai,70,33,3,6533,7,7,50 and above,VIP,2013-10-24,149,2177.6666666666666667,197.9696969696969697
20,Luke Lal,42,11,17,880,33,20,40-49,New,2014-01-12,147,51.7647058823529412,80.0000000000000000
21,Jordan King,42,0,1,2317,2,2,40-49,New,2012-12-29,159,2317.0000000000000000,
22,Destiny Wilson,42,0,1,2372,3,3,40-49,New,2013-01-23,158,2372.0000000000000000,
23,Ethan Zhang,42,0,1,2322,2,2,40-49,New,2013-01-20,158,2322.0000000000000000,
24,Seth Edwards,42,10,2,122,6,6,40-49,New,2014-01-14,146,61.0000000000000000,12.2000000000000000
25,Russell Xie,42,0,2,56,6,5,40-49,New,2013-07-26,152,28.0000000000000000,
26,Alejandro Beck,74,33,3,6577,6,6,50 and above,VIP,2013-10-25,149,2192.3333333333333333,199.3030303030303030
27,Harold Sai,74,32,3,6575,7,7,50 and above,VIP,2013-10-15,149,2191.6666666666666667,205.4687500000000000
28,Jessie Zhao,73,33,3,6591,9,9,50 and above,VIP,2013-10-24,149,2197.0000000000000000,199.7272727272727273
29,Jill Jimenez,74,32,3,6474,5,5,50 and above,VIP,2013-10-07,150,2158.0000000000000000,202.3125000000000000
30,Jimmy Moreno,73,33,3,6565,7,7,50 and above,VIP,2013-11-11,149,2188.3333333333333333,198.9393939393939394
31,Bethany Yuan,68,33,3,6471,4,4,50 and above,VIP,2013-11-09,149,2157.0000000000000000,196.0909090909090909
32,Theresa Ramos,73,33,3,6478,6,6,50 and above,VIP,2013-11-13,148,2159.3333333333333333,196.3030303030303030
33,Denise Stone,73,32,3,6525,10,10,50 and above,VIP,2013-11-08,149,2175.0000000000000000,203.9062500000000000
34,Jaime Nath,67,32,3,6495,7,7,50 and above,VIP,2013-11-05,149,2165.0000000000000000,202.9687500000000000
35,Ebony Gonzalez,73,33,3,6491,4,4,50 and above,VIP,2013-11-10,149,2163.6666666666666667,196.6969696969696970
36,Wendy Dominguez,72,33,3,6451,5,5,50 and above,VIP,2013-11-15,148,2150.3333333333333333,195.4848484848484848
37,Jennifer Russell,41,0,1,2355,2,2,40-49,New,2013-01-22,158,2355.0000000000000000,
38,Chloe Garcia,42,0,1,2374,7,7,40-49,New,2013-01-20,158,2374.0000000000000000,
39,Diana Hernandez,72,33,3,6437,3,3,50 and above,VIP,2013-11-12,149,2145.6666666666666667,195.0606060606060606
40,Marc Martin,71,33,3,6636,9,8,50 and above,VIP,2013-11-11,149,2212.0000000000000000,201.0909090909090909
41,Jesse Murphy,43,0,1,2351,3,3,40-49,New,2013-04-03,156,2351.0000000000000000,
42,Amanda Carter,42,0,1,2381,3,3,40-49,New,2013-01-14,158,2381.0000000000000000,
43,Megan Sanchez,43,8,2,3112,3,3,40-49,New,2013-10-17,149,1556.0000000000000000,389.0000000000000000
44,Nathan Simmons,44,3,2,48,3,3,40-49,New,2013-08-18,151,24.0000000000000000,16.0000000000000000
45,Adam Flores,71,32,3,6515,7,7,50 and above,VIP,2013-11-08,149,2171.6666666666666667,203.5937500000000000
46,Leonard Nara,70,6,2,115,4,4,50 and above,New,2013-10-29,149,57.5000000000000000,19.1666666666666667
47,Christine Yuan,70,33,3,6616,6,6,50 and above,VIP,2013-11-12,149,2205.3333333333333333,200.4848484848484848
48,Jaclyn Lu,70,33,3,6582,4,4,50 and above,VIP,2013-11-19,148,2194.0000000000000000,199.4545454545454545
49,Jeremy Powell,69,34,3,6498,8,8,50 and above,VIP,2013-12-25,147,2166.0000000000000000,191.1176470588235294
50,Carol Rai,40,7,2,81,5,5,40-49,New,2013-10-29,149,40.5000000000000000,11.5714285714285714
51,Alan Zheng,69,32,3,5007,6,6,50 and above,VIP,2013-11-19,148,1669.0000000000000000,156.4687500000000000
52,Daniel Johnson,69,0,2,124,5,5,50 and above,New,2014-01-01,147,62.0000000000000000,
53,Heidi Lopez,69,27,3,8131,7,7,50 and above,VIP,2013-05-27,154,2710.3333333333333333,301.1481481481481481
54,Ana Price,40,0,1,2330,2,2,40-49,New,2013-01-17,158,2330.0000000000000000,
55,Deanna Munoz,68,27,3,8223,6,6,50 and above,VIP,2013-05-30,154,2741.0000000000000000,304.5555555555555556
56,Gilbert Raje,68,28,3,8168,8,8,50 and above,VIP,2013-06-07,154,2722.6666666666666667,291.7142857142857143
57,Michele Nath,67,27,3,8207,8,8,50 and above,VIP,2013-05-31,154,2735.6666666666666667,303.9629629629629630
58,Carl Andersen,56,26,3,8088,4,4,50 and above,VIP,2013-05-21,154,2696.0000000000000000,311.0769230769230769
59,Marc Diaz,60,26,3,8248,6,6,50 and above,VIP,2013-06-04,154,2749.3333333333333333,317.2307692307692308
60,Ashlee Andersen,66,0,3,117,7,6,50 and above,New,2013-03-16,156,39.0000000000000000,
61,Jon Zhou,66,27,3,8153,6,6,50 and above,VIP,2013-06-25,153,2717.6666666666666667,301.9629629629629630
62,Todd Gao,50,27,3,8129,6,6,50 and above,VIP,2013-06-14,153,2709.6666666666666667,301.0740740740740741
63,Noah Powell,45,0,1,2352,3,3,40-49,New,2013-01-07,159,2352.0000000000000000,
64,Angela Murphy,45,0,1,2373,5,5,40-49,New,2013-01-12,159,2373.0000000000000000,
65,Chase Reed,44,0,1,2305,2,2,40-49,New,2013-01-25,158,2305.0000000000000000,
66,Jessica Henderson,47,11,2,202,5,4,40-49,New,2014-01-10,147,101.0000000000000000,18.3636363636363636
67,Grace Butler,46,3,2,81,5,5,40-49,New,2013-09-19,150,40.5000000000000000,27.0000000000000000
68,Caleb Carter,44,4,2,105,6,6,40-49,New,2014-01-12,147,52.5000000000000000,26.2500000000000000
69,Tiffany Liang,59,5,3,113,9,8,50 and above,New,2013-10-08,150,37.6666666666666667,22.6000000000000000
70,Carolyn Navarro,59,25,3,8104,3,3,50 and above,VIP,2013-06-04,154,2701.3333333333333333,324.1600000000000000
71,Willie Raji,65,25,3,8165,10,9,50 and above,VIP,2013-06-26,153,2721.6666666666666667,326.6000000000000000
72,Linda Serrano,65,9,3,110,7,6,50 and above,New,2013-12-01,148,36.6666666666666667,12.2222222222222222
73,Casey Luo,65,26,3,8194,7,7,50 and above,VIP,2013-06-15,153,2731.3333333333333333,315.1538461538461538
74,Amy Ye,64,4,3,192,10,9,50 and above,New,2013-08-21,151,64.0000000000000000,48.0000000000000000
75,Levi Arun,64,2,3,94,7,7,50 and above,New,2013-05-27,154,31.3333333333333333,47.0000000000000000
76,Felicia Jimenez,62,25,3,8068,5,5,50 and above,VIP,2013-06-24,153,2689.3333333333333333,322.7200000000000000
77,Blake Anderson,63,26,3,8159,4,4,50 and above,VIP,2013-06-21,153,2719.6666666666666667,313.8076923076923077
78,Leah Ye,63,25,3,8169,5,5,50 and above,VIP,2013-06-12,154,2723.0000000000000000,326.7600000000000000
79,Gina Martin,41,11,17,912,31,23,40-49,New,2014-01-28,146,53.6470588235294118,82.9090909090909091
80,Donald Gonzalez,56,9,3,58,5,5,50 and above,New,2014-01-01,147,19.3333333333333333,6.4444444444444444
81,Damien Chander,61,26,3,8204,7,7,50 and above,VIP,2013-06-23,153,2734.6666666666666667,315.5384615384615385
82,Savannah Baker,54,2,2,104,5,5,50 and above,New,2013-04-13,155,52.0000000000000000,52.0000000000000000
83,Angela Butler,54,9,2,3110,6,6,50 and above,New,2013-11-06,149,1555.0000000000000000,345.5555555555555556
84,Alyssa Cox,49,10,2,3137,5,5,40-49,New,2013-11-08,149,1568.5000000000000000,313.7000000000000000
85,Lucas Phillips,63,10,2,3078,5,5,50 and above,New,2013-11-21,148,1539.0000000000000000,307.8000000000000000
86,Emily Johnson,63,1,2,129,5,5,50 and above,New,2014-01-08,147,64.5000000000000000,129.0000000000000000
87,Ryan Brown,62,5,2,153,6,6,50 and above,New,2013-12-21,147,76.5000000000000000,30.6000000000000000
88,Tamara Liang,63,5,2,200,4,4,50 and above,New,2013-08-09,152,100.0000000000000000,40.0000000000000000
89,Hunter Davis,62,9,2,3176,7,7,50 and above,New,2013-11-12,149,1588.0000000000000000,352.8888888888888889
90,Abigail Price,63,10,2,3188,7,7,50 and above,New,2013-11-18,148,1594.0000000000000000,318.8000000000000000
91,Trevor Bryant,57,27,3,6703,6,6,50 and above,VIP,2013-11-21,148,2234.3333333333333333,248.2592592592592593
92,Dalton Perez,63,11,28,1186,59,25,50 and above,New,2014-01-08,147,42.3571428571428571,107.8181818181818182
93,Cheryl Diaz,53,26,3,8110,5,5,50 and above,VIP,2013-06-21,153,2703.3333333333333333,311.9230769230769231
94,Aimee He,47,26,3,8180,7,7,40-49,VIP,2013-06-08,154,2726.6666666666666667,314.6153846153846154
95,Cedric Ma,58,9,3,236,8,8,50 and above,New,2014-01-11,147,78.6666666666666667,26.2222222222222222
96,Chad Kumar,58,26,3,8158,7,7,50 and above,VIP,2013-06-25,153,2719.3333333333333333,313.7692307692307692
97,Andr├®s Anand,58,27,3,8063,4,4,50 and above,VIP,2013-07-30,152,2687.6666666666666667,298.6296296296296296
98,Edwin Nara,53,27,3,8099,5,5,50 and above,VIP,2013-07-24,152,2699.6666666666666667,299.9629629629629630
99,Mallory Rubio,59,8,3,89,4,4,50 and above,New,2013-10-16,149,29.6666666666666667,11.1250000000000000
100,Adam Ross,59,26,3,8216,9,8,50 and above,VIP,2013-07-01,153,2738.6666666666666667,316.0000000000000000
101,Latasha Navarro,60,27,3,8172,7,7,50 and above,VIP,2013-08-07,152,2724.0000000000000000,302.6666666666666667
102,Abby Sai,55,26,3,8262,7,7,50 and above,VIP,2013-06-29,153,2754.0000000000000000,317.7692307692307692
103,Julia Nelson,55,4,3,103,5,5,50 and above,New,2013-12-09,148,34.3333333333333333,25.7500000000000000
104,Cassie Chande,45,25,3,8182,8,8,40-49,VIP,2013-06-06,154,2727.3333333333333333,327.2800000000000000
105,Edgar Sara,51,25,3,8173,6,6,50 and above,VIP,2013-06-15,153,2724.3333333333333333,326.9200000000000000
106,Candace Fernandez,55,24,3,8096,5,5,50 and above,VIP,2013-06-05,154,2698.6666666666666667,337.3333333333333333
107,Jessie Liu,56,24,3,8079,3,3,50 and above,VIP,2013-06-15,153,2693.0000000000000000,336.6250000000000000
108,Bianca Lin,50,25,3,8171,6,6,50 and above,VIP,2013-06-21,153,2723.6666666666666667,326.8400000000000000
109,Kari Alvarez,57,25,3,8124,5,5,50 and above,VIP,2013-06-23,153,2708.0000000000000000,324.9600000000000000
110,Ruben Kapoor,45,25,3,8245,8,8,40-49,VIP,2013-06-24,153,2748.3333333333333333,329.8000000000000000
111,Curtis Yang,58,27,3,8093,5,5,50 and above,VIP,2013-08-20,151,2697.6666666666666667,299.7407407407407407
112,Meredith Gutierrez,58,27,3,8137,8,8,50 and above,VIP,2013-08-22,151,2712.3333333333333333,301.3703703703703704
113,Crystal Wang,58,27,3,8295,6,6,50 and above,VIP,2013-09-02,151,2765.0000000000000000,307.2222222222222222
114,Micheal Blanco,53,2,3,110,7,7,50 and above,New,2013-04-21,155,36.6666666666666667,55.0000000000000000
115,Leslie Moreno,58,9,3,123,7,6,50 and above,New,2013-12-26,147,41.0000000000000000,13.6666666666666667
116,Alvin Cai,58,10,3,114,6,6,50 and above,New,2014-01-02,147,38.0000000000000000,11.4000000000000000
117,Clinton Carlson,47,7,3,149,7,7,40-49,New,2013-10-16,149,49.6666666666666667,21.2857142857142857
118,April Deng,59,25,3,8185,8,8,50 and above,VIP,2013-06-25,153,2728.3333333333333333,327.4000000000000000
119,Alvin Zeng,63,6,3,124,8,6,50 and above,New,2014-01-26,146,41.3333333333333333,20.6666666666666667
120,Evan James,85,9,2,85,4,4,50 and above,New,2013-11-23,148,42.5000000000000000,9.4444444444444444
121,Beth Jim├®nez,84,28,3,8242,10,10,50 and above,VIP,2013-09-19,150,2747.3333333333333333,294.3571428571428571
122,Orlando Suarez,59,4,3,58,6,5,50 and above,New,2013-11-04,149,19.3333333333333333,14.5000000000000000
123,Byron Vazquez,60,6,3,43,3,3,50 and above,New,2013-08-22,151,14.3333333333333333,7.1666666666666667
124,Philip Alvarez,60,9,3,150,8,7,50 and above,New,2014-01-25,146,50.0000000000000000,16.6666666666666667
125,Ross Jordan,57,25,3,8129,6,6,50 and above,VIP,2013-06-18,153,2709.6666666666666667,325.1600000000000000
126,Dana Navarro,64,5,3,79,7,7,50 and above,New,2013-07-03,153,26.3333333333333333,15.8000000000000000
127,Shaun Carson,71,29,3,4971,8,7,50 and above,Regular,2013-11-03,149,1657.0000000000000000,171.4137931034482759
128,Jan Edwards,44,5,2,44,3,3,40-49,New,2013-10-01,150,22.0000000000000000,8.8000000000000000
129,Samantha Long,44,1,2,144,7,7,40-49,New,2013-08-12,152,72.0000000000000000,144.0000000000000000
130,Julia Wright,45,17,2,5873,2,2,40-49,VIP,2013-01-09,159,2936.5000000000000000,345.4705882352941176
131,Caroline Russell,40,0,1,37,2,2,40-49,New,2013-12-09,148,37.0000000000000000,
132,Amanda Rivera,40,3,5,166,9,9,40-49,New,2014-01-23,146,33.2000000000000000,55.3333333333333333
133,Melissa Richardson,39,0,1,2372,6,6,30-39,New,2013-04-09,156,2372.0000000000000000,
134,Angela Griffin,40,0,1,72,4,4,40-49,New,2013-12-30,147,72.0000000000000000,
135,Larry Townsend,69,30,3,4911,3,3,50 and above,Regular,2013-11-03,149,1637.0000000000000000,163.7000000000000000
136,Marcus Harris,40,0,1,2335,3,3,40-49,New,2013-04-18,155,2335.0000000000000000,
137,Brianna Morgan,41,0,1,2381,3,3,40-49,New,2013-01-03,159,2381.0000000000000000,
138,Jasmine Taylor,42,5,2,202,5,4,40-49,New,2014-01-20,146,101.0000000000000000,40.4000000000000000
139,Lauren Davis,42,3,2,79,4,4,40-49,New,2013-12-31,147,39.5000000000000000,26.3333333333333333
140,Tanya Moreno,76,1,2,84,3,3,50 and above,New,2013-10-17,149,42.0000000000000000,84.0000000000000000
141,Javier Alvarez,43,0,1,40,2,2,40-49,New,2013-03-19,156,40.0000000000000000,
142,Nicole Ramirez,43,4,2,114,5,5,40-49,New,2013-09-28,150,57.0000000000000000,28.5000000000000000
143,Eduardo Patterson,43,11,17,979,36,23,40-49,New,2014-01-13,146,57.5882352941176471,89.0000000000000000
144,Jonathan Henderson,43,6,2,48,5,4,40-49,New,2013-12-19,147,24.0000000000000000,8.0000000000000000
145,Edward Hernandez,41,0,1,2400,3,3,40-49,New,2013-01-25,158,2400.0000000000000000,
146,Jasmine Coleman,40,0,1,2310,3,3,40-49,New,2013-01-25,158,2310.0000000000000000,
147,Karla Goel,81,7,3,113,7,6,50 and above,New,2013-09-15,150,37.6666666666666667,16.1428571428571429
148,Ernest Wu,81,29,3,8195,7,7,50 and above,VIP,2013-10-16,149,2731.6666666666666667,282.5862068965517241
149,Ross Vazquez,79,8,3,126,6,5,50 and above,New,2013-12-03,148,42.0000000000000000,15.7500000000000000
150,Theodore Gill,79,5,3,41,4,4,50 and above,New,2013-11-29,148,13.6666666666666667,8.2000000000000000
151,Russell Shen,79,3,3,192,8,7,50 and above,New,2013-07-15,152,64.0000000000000000,64.0000000000000000
152,Melinda Gill,78,29,3,8087,6,6,50 and above,VIP,2013-10-20,149,2695.6666666666666667,278.8620689655172414
153,James Williams,44,0,1,2295,1,1,40-49,New,2013-01-09,159,2295.0000000000000000,
154,Angela James,44,0,2,110,5,5,40-49,New,2013-03-29,156,55.0000000000000000,
155,Megan Walker,44,0,1,2320,1,1,40-49,New,2013-01-10,159,2320.0000000000000000,
156,Hunter Robinson,44,0,1,2320,1,1,40-49,New,2013-01-06,159,2320.0000000000000000,
157,Maria Roberts,44,0,1,2390,4,4,40-49,New,2013-01-08,159,2390.0000000000000000,
158,Hannah Long,45,1,2,41,3,3,40-49,New,2013-09-11,151,20.5000000000000000,41.0000000000000000
159,Jason Wright,45,0,1,2396,3,3,40-49,New,2013-01-19,158,2396.0000000000000000,
160,Brianna Hughes,45,1,2,48,5,4,40-49,New,2013-11-07,149,24.0000000000000000,48.0000000000000000
161,Maurice Tang,46,0,1,2322,2,2,40-49,New,2013-02-21,157,2322.0000000000000000,
162,Emily Wood,46,5,2,94,6,6,40-49,New,2013-11-11,149,47.0000000000000000,18.8000000000000000
163,Chase Cox,46,0,1,2330,2,2,40-49,New,2013-02-18,157,2330.0000000000000000,
164,Gabriel Wang,45,3,2,46,4,4,40-49,New,2013-08-05,152,23.0000000000000000,15.3333333333333333
165,Devin Brooks,46,3,2,145,6,6,40-49,New,2013-08-05,152,72.5000000000000000,48.3333333333333333
166,Jocelyn Alexander,47,0,2,103,3,3,40-49,New,2013-06-05,154,51.5000000000000000,
167,Ashley Martinez,48,1,2,88,5,5,40-49,New,2013-12-06,148,44.0000000000000000,88.0000000000000000
168,Jasmine Barnes,48,10,2,3126,4,4,40-49,New,2013-11-28,148,1563.0000000000000000,312.6000000000000000
169,David Rodriguez,52,10,2,3136,7,7,50 and above,New,2013-11-16,148,1568.0000000000000000,313.6000000000000000
170,Bryce Richardson,52,3,2,81,5,5,50 and above,New,2013-09-24,150,40.5000000000000000,27.0000000000000000
171,Carol Howard,52,4,2,157,7,7,50 and above,New,2013-12-29,147,78.5000000000000000,39.2500000000000000
172,Jonathan Hill,47,26,3,6716,8,8,40-49,VIP,2013-11-07,149,2238.6666666666666667,258.3076923076923077
173,Gabrielle Adams,52,8,2,129,7,6,50 and above,New,2014-01-11,147,64.5000000000000000,16.1250000000000000
174,Sarah Thomas,53,9,2,103,3,3,50 and above,New,2013-12-24,147,51.5000000000000000,11.4444444444444444
175,Nicholas Robinson,53,0,2,48,5,4,50 and above,New,2013-07-25,152,24.0000000000000000,
176,Luis Wang,57,26,3,6710,8,8,50 and above,VIP,2013-11-03,149,2236.6666666666666667,258.0769230769230769
177,Mason Roberts,47,11,28,1317,60,27,40-49,New,2014-01-27,146,47.0357142857142857,119.7272727272727273
178,Jose Flores,78,6,2,135,6,6,50 and above,New,2013-10-14,149,67.5000000000000000,22.5000000000000000
179,Nathan Johnson,71,3,2,145,6,6,50 and above,New,2013-05-26,154,72.5000000000000000,48.3333333333333333
180,Molly Rodriguez,66,9,2,125,6,6,50 and above,New,2014-01-09,147,62.5000000000000000,13.8888888888888889
181,April Anand,77,6,2,138,6,6,50 and above,New,2013-09-25,150,69.0000000000000000,23.0000000000000000
182,Devin Martin,66,2,2,41,3,3,50 and above,New,2013-07-11,153,20.5000000000000000,20.5000000000000000
183,Stephanie Torres,76,4,2,81,5,5,50 and above,New,2014-01-05,147,40.5000000000000000,20.2500000000000000
184,Jasmine Lee,76,1,2,46,4,4,50 and above,New,2013-06-13,153,23.0000000000000000,46.0000000000000000
185,Meghan Hernandez,70,1,2,68,5,5,50 and above,New,2013-10-09,150,34.0000000000000000,68.0000000000000000
186,Ashley Henderson,76,11,27,1616,68,29,50 and above,New,2014-01-26,146,59.8518518518518519,146.9090909090909091
187,Sarah Price,76,2,2,41,3,3,50 and above,New,2014-01-07,147,20.5000000000000000,20.5000000000000000
188,Jennifer Cooper,76,4,2,108,4,4,50 and above,New,2013-08-06,152,54.0000000000000000,27.0000000000000000
189,Catherine Morris,76,2,2,81,5,5,50 and above,New,2014-01-21,146,40.5000000000000000,40.5000000000000000
190,Lawrence Blanco,76,17,2,5944,6,6,50 and above,VIP,2013-02-05,158,2972.0000000000000000,349.6470588235294118
191,Carson Bryant,76,4,2,46,4,4,50 and above,New,2014-01-16,146,23.0000000000000000,11.5000000000000000
192,Kristi Perez,74,26,3,6743,7,7,50 and above,VIP,2013-11-06,149,2247.6666666666666667,259.3461538461538462
193,James Brown,75,3,2,114,5,5,50 and above,New,2013-09-25,150,57.0000000000000000,38.0000000000000000
194,Ian Gray,75,5,2,41,3,3,50 and above,New,2013-08-18,151,20.5000000000000000,8.2000000000000000
195,Jacqueline Price,75,8,2,105,6,6,50 and above,New,2013-12-08,148,52.5000000000000000,13.1250000000000000
196,Megan Henderson,74,6,2,105,6,6,50 and above,New,2013-10-22,149,52.5000000000000000,17.5000000000000000
197,Alfredo Romero,74,6,2,162,4,4,50 and above,New,2013-09-24,150,81.0000000000000000,27.0000000000000000
198,Andrea Morris,74,2,2,207,6,5,50 and above,New,2013-07-20,152,103.5000000000000000,103.5000000000000000
199,Brooke Sanders,73,0,2,98,4,4,50 and above,New,2013-02-13,157,49.0000000000000000,
200,Jacqueline Bennett,68,6,2,132,6,6,50 and above,New,2013-10-17,149,66.0000000000000000,22.0000000000000000
201,Jason Griffin,72,11,27,1461,55,26,50 and above,New,2014-01-20,146,54.1111111111111111,132.8181818181818182
202,Amanda Foster,73,2,2,181,6,6,50 and above,New,2013-09-09,151,90.5000000000000000,90.5000000000000000
203,Alexia Price,67,0,2,74,3,3,50 and above,New,2013-09-21,150,37.0000000000000000,
204,Luis Diaz,66,9,17,800,32,19,50 and above,New,2013-12-11,148,47.0588235294117647,88.8888888888888889
205,Destiny Rivera,72,3,2,77,4,4,50 and above,New,2013-11-10,149,38.5000000000000000,25.6666666666666667
206,Abby Fernandez,72,2,2,37,2,2,50 and above,New,2013-10-08,150,18.5000000000000000,18.5000000000000000
207,Blake Flores,72,0,2,77,4,4,50 and above,New,2013-05-30,154,38.5000000000000000,
208,Danielle Cox,72,8,2,77,4,4,50 and above,New,2013-10-18,149,38.5000000000000000,9.6250000000000000
209,Maria Reed,72,6,2,134,7,7,50 and above,New,2013-09-17,150,67.0000000000000000,22.3333333333333333
210,Allison Evans,72,9,2,37,2,2,50 and above,New,2014-01-22,146,18.5000000000000000,4.1111111111111111
211,Edward Wood,72,4,2,70,5,5,50 and above,New,2013-09-06,151,35.0000000000000000,17.5000000000000000
212,Samantha Russell,65,11,17,792,33,22,50 and above,New,2014-01-07,147,46.5882352941176471,72.0000000000000000
213,Chloe Campbell,70,11,17,824,33,20,50 and above,New,2014-01-17,146,48.4705882352941176,74.9090909090909091
214,Stephanie Murphy,71,5,2,77,4,4,50 and above,New,2013-09-09,151,38.5000000000000000,15.4000000000000000
215,Charles Miller,70,3,2,162,4,4,50 and above,New,2013-11-19,148,81.0000000000000000,54.0000000000000000
216,Ana Perry,64,10,17,1154,32,21,50 and above,New,2013-12-15,147,67.8823529411764706,115.4000000000000000
217,Jasmine Torres,70,17,2,5948,5,5,50 and above,VIP,2013-02-05,158,2974.0000000000000000,349.8823529411764706
218,Natalie Adams,70,18,2,5953,3,3,50 and above,VIP,2013-02-14,157,2976.5000000000000000,330.7222222222222222
219,Olivia Brown,64,10,2,39,3,2,50 and above,New,2014-01-04,147,19.5000000000000000,3.9000000000000000
220,Charles Cook,69,2,2,39,3,2,50 and above,New,2014-01-24,146,19.5000000000000000,19.5000000000000000
221,Erica Huang,65,8,2,50,4,4,50 and above,New,2013-12-13,147,25.0000000000000000,6.2500000000000000
222,Nathan Perry,70,6,2,46,4,4,50 and above,New,2013-10-17,149,23.0000000000000000,7.6666666666666667
223,Alexandra Rivera,70,0,2,208,6,6,50 and above,New,2013-11-28,148,104.0000000000000000,
224,Hailey Patterson,69,11,27,1293,65,26,50 and above,New,2014-01-06,147,47.8888888888888889,117.5454545454545455
225,Tiffany Li,69,27,3,6685,5,5,50 and above,VIP,2013-12-03,148,2228.3333333333333333,247.5925925925925926
226,Madison Lee,64,2,2,73,5,5,50 and above,New,2013-09-06,151,36.5000000000000000,36.5000000000000000
227,Sydney Ross,63,1,2,37,2,2,50 and above,New,2013-03-31,156,18.5000000000000000,37.0000000000000000
228,Marshall Chavez,63,18,2,5910,5,5,50 and above,VIP,2013-02-10,158,2955.0000000000000000,328.3333333333333333
229,Ashley Jones,69,2,2,77,4,4,50 and above,New,2014-01-17,146,38.5000000000000000,38.5000000000000000
230,Adrian Stewart,68,5,2,81,5,5,50 and above,New,2014-01-25,146,40.5000000000000000,16.2000000000000000
231,Amber Turner,69,4,2,54,5,5,50 and above,New,2013-12-09,148,27.0000000000000000,13.5000000000000000
232,Dennis Zhang,62,9,2,64,4,4,50 and above,New,2013-11-12,149,32.0000000000000000,7.1111111111111111
233,Hailey Bryant,68,1,2,39,3,2,50 and above,New,2013-11-13,148,19.5000000000000000,39.0000000000000000
234,Todd Li,62,4,2,179,7,7,50 and above,New,2013-06-08,154,89.5000000000000000,44.7500000000000000
235,Anna Griffin,67,7,2,76,4,4,50 and above,New,2013-09-19,150,38.0000000000000000,10.8571428571428571
236,Angel Stewart,68,6,2,138,6,5,50 and above,New,2014-01-05,147,69.0000000000000000,23.0000000000000000
237,Jeremy Butler,68,3,2,114,5,5,50 and above,New,2014-01-06,147,57.0000000000000000,38.0000000000000000
238,Clarence Anand,62,26,4,10566,6,6,50 and above,VIP,2013-11-25,148,2641.5000000000000000,406.3846153846153846
239,Mayra Prasad,62,27,4,7543,9,9,50 and above,VIP,2013-04-30,155,1885.7500000000000000,279.3703703703703704
240,Latoya Goel,56,28,4,7511,11,11,50 and above,VIP,2013-05-28,154,1877.7500000000000000,268.2500000000000000
241,Anne Hernandez,61,26,4,7586,13,10,50 and above,VIP,2013-05-13,154,1896.5000000000000000,291.7692307692307692
242,Lisa Cai,52,13,7,11468,25,20,50 and above,VIP,2013-10-29,149,1638.2857142857142857,882.1538461538461538
243,Larry Munoz,62,14,7,11067,12,12,50 and above,VIP,2013-12-04,148,1581.0000000000000000,790.5000000000000000
244,Robin Alvarez,63,27,4,7164,12,10,50 and above,VIP,2013-06-09,154,1791.0000000000000000,265.3333333333333333
245,Alexis Coleman,57,29,4,7175,12,11,50 and above,VIP,2013-07-19,152,1793.7500000000000000,247.4137931034482759
